Unique Id,indicator_id,geo_type_id,measurement_type_id,internal_id,subtopic_id,name,Measure,geo_type_name,description,geo_entity_id,geo_entity_name,year_description,data_value
338295,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),405,Ridgewood and Maspeth (CD5),Summer 2015,32.08
338296,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),406,Rego Park and Forest Hills (CD6),Summer 2015,31.08
338297,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),407,Flushing and Whitestone (CD7),Summer 2015,31.92
338298,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),408,Hillcrest and Fresh Meadows (CD8),Summer 2015,31.3
338299,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),409,Kew Gardens and Woodhaven (CD9),Summer 2015,31.8
338300,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),410,South Ozone Park and Howard Beach (CD10),Summer 2015,33.12
338301,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),411,Bayside and Little Neck (CD11),Summer 2015,31.36
338302,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),412,Jamaica and Hollis (CD12),Summer 2015,32.18
338303,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),413,Queens Village (CD13),Summer 2015,32.64
338304,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),414,Rockaway and Broad Channel (CD14),Summer 2015,37.54
338305,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),501,St. George and Stapleton (CD1),Summer 2015,30.39
338306,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),502,South Beach and Willowbrook (CD2),Summer 2015,32.47
338307,386,17,104,2027,91,Ozone (O3),Mean,CD,Neighborhood (community district),503,Tottenville and Great Kills (CD3),Summer 2015,34.09
,,,,,,,,,,,,,
NYC Department of Health and Mental Hygiene,,,,,,,,,,,,,
Environment & Health Data Portal,,,,,,,,,,,,,
Available at: http://nyc.gov/health/tracking Accessed 10/17/2017,,,,,,,,,,,,,
